name,size,year,absoluteLength,breitengrad,laengengrad
Brunnifirn,26,1921,4005,46734376,8789393
Brunnifirn,26,1922,4009,46734376,8789393
Brunnifirn,26,1923,4003,46734376,8789393
Brunnifirn,26,1924,3999,46734376,8789393
Brunnifirn,26,1925,3985,46734376,8789393
Brunnifirn,26,1926,3984,46734376,8789393
Brunnifirn,26,1927,3965,46734376,8789393
Brunnifirn,26,1928,3961,46734376,8789393
Brunnifirn,26,1929,3957,46734376,8789393
Brunnifirn,26,1930,3949,46734376,8789393
Brunnifirn,26,1931,3949,46734376,8789393
Brunnifirn,26,1932,3937,46734376,8789393
Brunnifirn,26,1933,3933,46734376,8789393
Brunnifirn,26,1934,3933,46734376,8789393
Brunnifirn,26,1935,3908,46734376,8789393
Brunnifirn,26,1936,3912,46734376,8789393
Brunnifirn,26,1937,3902,46734376,8789393
Brunnifirn,26,1938,3894,46734376,8789393
Brunnifirn,26,1939,3894,46734376,8789393
Brunnifirn,26,1940,3894,46734376,8789393
Brunnifirn,26,1941,3884,46734376,8789393
Brunnifirn,26,1942,3874,46734376,8789393
Brunnifirn,26,1943,3872,46734376,8789393
Brunnifirn,26,1944,3866,46734376,8789393
Brunnifirn,26,1945,3828,46734376,8789393
Brunnifirn,26,1946,3817,46734376,8789393
Brunnifirn,26,1947,3799,46734376,8789393
Brunnifirn,26,1948,3795,46734376,8789393
Brunnifirn,26,1949,3774,46734376,8789393
Brunnifirn,26,1950,3774,46734376,8789393
Brunnifirn,26,1951,3764,46734376,8789393
Brunnifirn,26,1952,3756,46734376,8789393
Brunnifirn,26,1953,3731,46734376,8789393
Brunnifirn,26,1954,3717,46734376,8789393
Brunnifirn,26,1955,3714,46734376,8789393
Brunnifirn,26,1956,3710,46734376,8789393
Brunnifirn,26,1957,3710,46734376,8789393
Brunnifirn,26,1958,3702,46734376,8789393
Brunnifirn,26,1959,3702,46734376,8789393
Brunnifirn,26,1960,3702,46734376,8789393
Brunnifirn,26,1961,3678,46734376,8789393
Brunnifirn,26,1962,3668,46734376,8789393
Brunnifirn,26,1963,3663,46734376,8789393
Brunnifirn,26,1964,3657,46734376,8789393
Brunnifirn,26,1965,3655,46734376,8789393
Brunnifirn,26,1966,3653,46734376,8789393
Brunnifirn,26,1967,3651,46734376,8789393
